palavra,tf,dicts,corpus,title,dmap
apresentadora,332980,0.9089,0.0376,0,bcdhij
apresentadores,105421,0.9089,0.1126,0,bcdhij
apresentados,1290388,0.99,0.4268,0,bcdhijm
apresentam,1793468,0.99,0.2922,0,bcdhijm
apresentamos,254574,0.9089,0.0376,0,bcdhij
apresentando,935038,0.99,0.1863,0,bcdhijm
apresentar,3714876,1,0.2922,0,abcdghijklmnoqrst
apresentara,240551,0.9089,0.9881,0.0046,bcdhij
apresentaram,731390,0.9089,0.1126,0,bcdhij
apresentarem,219031,0.9089,0.1126,0,bcdhij
apresentaremos,36035,0.9089,0.0212,0,bcdhij
apresentaria,27182,0.9089,0.0658,0,bcdhij
apresentarão,67798,0.9089,0.0376,0,bcdhij
apresentasse,44756,0.9089,0.1126,0,bcdhij
apresentassem,23425,0.9089,0.0212,0,bcdhij
apresentava,343605,0.9089,0.0658,0.0027,bcdhij
apresentavam,192132,0.9089,0.1126,0,bcdhij
apresentação,4554431,1,0.4268,0.0013,abcdghijklmnoqrst
apresentações,1125576,0.5,0.4268,0.0027,bcdhj
apresente,277583,0.99,0.1863,0,bcdfhij
apresentei,90861,0.9089,0.0376,0,bcdhij
apresentem,170700,0.9089,0.0658,0,bcdhij
apresento,165072,0.99,0.0658,0,bcdfhij
apresentou,1896957,0.99,0.2922,0,bcdhijm
apresentável,22396,1,0.8137,0,abcdghijklmoqst
apressa,36037,0.99,0.9342,0.0044,bcdfhij
apressada,56361,0.99,0.1863,0,bcdfhij
apressadamente,41828,1,0.0658,0,acdghijklmnqrst
apressadas,24330,0.9089,0.0212,0,bcdhij
apressado,77475,1,0.1126,0,abcdfghijklmnoqrst
apressados,41282,0.9089,0.0212,0,bcdhij
apressar,76282,1,0.2922,0,abcdfghijklmnoqrst
apresse,26644,0.99,0.0376,0.0044,bcdfhij
apressou,38759,0.99,0.0119,0,bcdfhij
apreço,174987,1,0.5732,0,abcdfghijklmnoqst
aprimora,40189,0.99,0.9881,0.0022,bcdfhij
aprimorada,43138,0.0911,0.0658,0,cdhj
aprimorado,43632,1,0.0658,0,abcdhijklmnoqrst
aprimorados,22257,0.0911,0.0376,0,cdhj
aprimoramento,286132,1,0.1863,0,abcdhijkmoqrt
aprimoramentos,26277,0.9089,0.0037,0,bcdhij
aprimorando,59003,0.9089,0.0119,0,bcdhij
aprimorar,451163,1,0.4268,0,abcdfghijklmoqrst
aprisiona,37021,0.99,0.9881,0.0021,bcdfhij
aprisionada,26797,0.9089,0.0119,0,bcdhij
aprisionado,50054,1,0.2922,0,bcdhijklmoqrst
aprisionados,34299,0.9089,0.0376,0,bcdhij
aprisionamento,27528,1,0.1126,0,abcdhijklmoqrst
aprisionar,32075,1,0.1863,0,abcdghijklmnoqrst
aprofunda,65613,0.99,0.9342,0.0022,bcdfhij
aprofundada,85482,0.9089,0.0376,0,bcdhij
aprofundadas,23295,0.9089,0.0212,0,bcdhij
aprofundado,92000,0.999,0.1863,0,bcdhijqt
aprofundados,31356,0.9089,0.0376,0,bcdhij
aprofundamento,202271,1,0.2922,0,abcdhijkmoqt
aprofundando,50631,0.9089,0.0212,0,bcdhij
aprofundar,361701,1,0.4268,0,abcdhijklmoqrst
aprofundou,29610,0.9089,0.0658,0,bcdhij
apronta,38074,0.99,0.2922,0.0023,bcdfhij
aprontando,50251,0.9089,0.0066,0,bcdhij
aprontar,60651,1,0.1863,0,abcdfghijklmoqrst
aprontou,32702,0.99,0.0119,0,bcdfhij
apropria,38234,0.99,0.5732,0.0043,bcdfhij
apropriada,289468,0.99,0.2922,0,bcdhijp
apropriadamente,52415,1,0.0658,0,abcdhijlmqrs
apropriadas,159243,0.9089,0.1863,0,bcdhij
apropriado,495219,1,0.4268,0,abcdhijkmoqrst
apropriados,184947,0.9089,0.1126,0,bcdhij
apropriar,79253,1,0.2922,0,abcdfghijklmoqrst
apropriação,232182,1,0.4268,0,abcdghijklmnoqrst
aprouver,21223,0.9999,0.0212,0,cdfghijkm
aprova,519530,0.99,0.9934,0,bcdfhij
aprovada,785781,0.99,0.1126,0,bcdfhij
aprovadas,253388,0.99,0.1126,0,bcdfhij
aprovado,1414450,1,0.2922,0,abcdfghijklmnopqrst
aprovados,757344,0.99,0.1863,0,bcdfhij
aprovam,98893,0.999,0.1126,0.0041,bcdfhijp
aprovando,34876,0.999,0.0658,0,bcdfhijq
aprovar,427527,1,0.2922,0.0045,abcdfghijklmnoqrst
aprovaram,122038,0.99,0.1126,0,bcdfhij
aprovação,1726852,1,0.4268,0,abcdfghijklmnoqrst
aprovações,103209,0.5,0.0658,0,bcdhj
aprove,29668,0.999,0.0376,0,bcdfhijq
aprovei,34408,0.99,0.0212,0.0045,bcdfhij
aproveita,558536,0.9999,0.9994,0.0085,bcdfhijmp
aproveitada,80824,0.9089,0.1863,0,bcdhij
aproveitadas,54114,0.99,0.1126,0,bcdhijp
aproveitado,194715,1,0.2922,0,abcdhijklmoqst
aproveitadores,23827,0.0911,0.0119,0,cdhj
aproveitados,70510,0.99,0.1126,0,bcdhijp
aproveitam,175962,0.99,0.1126,0,bcdhijp
aproveitamento,592088,1,0.4268,0,abcdhijklmnoqst
aproveitamos,93012,0.9089,0.0212,0,bcdhij
aproveitando,543245,0.9089,0.1863,0,bcdhij
aproveitar,2021108,1,0.2922,0,abcdghijklmnoqrst
aproveitara,21066,0.9089,0.2922,0,bcdhij
aproveitaram,115233,0.9089,0.0658,0,bcdhij
aproveitarem,30964,0.9089,0.0376,0,bcdhij
aproveitava,39314,0.9089,0.0212,0,bcdhij
aproveite,620495,0.99,0.0658,0,bcdfhij
aproveitei,198623,0.9089,0.0212,0,bcdhij
aproveitem,147342,0.9089,0.0658,0,bcdhij
aproveito,171302,0.99,0.0658,0,bcdfhij
aproveitou,447021,0.9089,0.1126,0,bcdhij
aprovisionamento,22554,1,0.0212,0.0046,abcdghjklmnoqrst
aprovo,35432,0.99,0.0212,0,bcdfhij
aprovou,534496,0.99,0.1126,0.0023,bcdfhij
aproxima,655671,0.99,0.9994,0.0038,bcdfhij
aproximada,156609,0.9089,0.1863,0,bcdhij
aproximadamente,2209791,1,0.2922,0,abcdhijlmopqrst
aproximadas,76992,0.9089,0.1126,0.0052,bcdhij
aproximado,253469,1,0.4268,0.0027,abcdhijkmnoqrt
aproximados,99444,0.9089,0.0658,0.0044,bcdhij
aproximam,169787,0.99,0.1863,0,bcdfhij
aproximamos,37008,0.9089,0.0376,0.0045,bcdhij
aproximando,298820,0.9089,0.1863,0.0034,bcdhij
aproximar,651293,1,0.2922,0,abcdfghijklmnopqrst
aproximaram,61312,0.9089,0.0376,0.0046,bcdhij
aproximarem,36715,0.99,0.1126,0.0041,bcdhijq
aproximava,98897,0.9089,0.0658,0,bcdhij
aproximavam,31811,0.9089,0.0119,0.0045,bcdhij
aproximação,636161,1,0.4268,0.0055,abcdghijklmnoqrst
aproximações,49402,0.5,0.0376,0,bcdhj
aproxime,67616,0.99,0.0658,0.004,bcdfhij
aproximei,40989,0.99,0.0212,0,bcdfhij
aproximem,25662,0.99,0.0658,0,bcdfhij
aproximo,21733,0.99,0.0066,0,bcdfhij
aproximou,257486,0.99,0.1126,0,bcdfhij
apt,24408,0.9089,0.0002,0,cdghjk
apta,103064,1,0.9342,0.0023,bcdfhijlmq
aptas,64863,0.99,0.0658,0,bcdfhij
aptidão,271644,1,0.4268,0.0117,abcdfghijklmoqrst
aptidões,89540,0.9089,0.0376,0,bcdfhj
apto,787989,1,0.9934,0,abcdfghijklmoqrst
aptos,248082,0.99,0.2922,0,bcdfhij
apud,148820,0.5,0.0658,0,adhmo
apura,79099,0.99,0.8874,0.0022,bcdfhij
apurada,113130,1,0.1863,0.004,bcdfhijmos
apuradas,66632,0.99,0.0376,0,bcdfhij
apurado,219171,1,0.4268,0.0033,abcdfhijklmoqst
apurados,117948,0.99,0.1126,0,bcdfhij
apuramento,76228,1,0.1126,0,acdhjklmqst
apurando,22798,0.99,0.0212,0,bcdfhij
apurar,329877,1,0.2922,0,abcdfghijklmnoqrst
apuração,516085,1,0.9342,0.0074,abcdfghijklmoqrst
apurações,30178,0.9089,0.0376,0.0044,bcdfhj
apuro,27622,1,0.0658,0,abcdfghijklmoqrst
apuros,74402,0.9999,0.1126,0,bcdfhijnq
apurou,116422,0.99,0.1126,0,bcdfhij
apática,21939,0.9089,0.0212,0.0045,bcdfhj
apático,33392,1,0.8137,0.008,abcdfhijklmoqrst
apê,100505,1,0.9999,0.004,cdfghjmoqs
apêndice,72493,1,0.7078,0,abcdfghijklmoqrst
apêndices,26599,0.9089,0.0376,0,bcdfhj
apócrifos,32951,0.9089,0.0376,0,bcdfhj
apólice,135799,1,0.9788,0.0113,abcdfhijklmoqrs
apólices,29330,0.9089,0.0119,0,bcdfhj
após,20097840,1,1,0.2083,abcdfghijklmnopqrst
apóstolo,404740,1,0.998,0.0014,abcdfghijklmnoqrs
apóstolos,331937,0.99,0.1126,0.0044,bcdfhjs
aq,76894,0.01,0.0376,0,dho
aquando,180687,0.9999,0.0376,0.0051,cdfhjlmos
aquarela,167643,1,0.9881,0.0252,abcdfhijklmoqrst
aquarelas,23705,0.99,0.0066,0,bcdfhij
aquece,151517,0.999,0.9963,0,bcdfhijp
aquecedor,116813,1,0.4268,0.0039,abcdfhijklmoqrst
aquecedores,50482,0.99,0.0376,0,bcdhijr
aquecem,37424,0.99,0.0658,0.0042,bcdfhij
aquecendo,51347,0.99,0.0376,0,bcdfhij
aquecer,335659,1,0.4268,0.0037,abcdfghijklmoqrst
aqueceu,21924,0.99,0.0658,0.0042,bcdfhij
aquecida,214190,0.999,0.1863,0,bcdfhijp
aquecidas,41013,0.99,0.1126,0,bcdfhij
aquecido,288696,1,0.1863,0,abcdfghijmnqt
aquecidos,59503,0.99,0.1863,0,bcdfhij
aquecimento,994039,1,0.4268,0,abcdhijklmoqrst
aquela,5859066,1,1,0,bcdfhijklmopqs
aquelas,2384892,0.999,1,0.0192,bcdfhijm
aquele,9006242,1,1,0.2115,abcdfghijklmopqrst
aqueles,6782333,0.9999,1,0.2005,bcdfhijmp
aqueça,115945,0.99,0.0066,0,bcdfhij
aqui,48941982,1,0.9998,0.3219,abcdfghijklmopqrst
aquicultura,61450,1,0.0119,0.0092,acdghijklmoqs
aquiles,109994,1,0.1126,0.3459,abcdfghijkmqr
aquilo,4538330,1,1,0,abcdfghijklmopqs
aquisitivo,117877,1,0.2922,0,abcdghijkmoqst
aquisição,1786378,1,0.9989,0.2217,abcdfghijklmnoqrst
aquisições,233955,0.5,0.1126,0.0045,bcdhj
aquosa,46056,0.99,0.1126,0,bcdfhij
aquoso,26678,1,0.1126,0,abcdfghijklmoqrst
aquário,595527,1,0.9963,0.1959,abcdfghijklmoqrst
aquários,72189,0.9089,0.0658,0.0053,bcdfhj
aquática,60775,0.9999,0.2922,0.0044,bcdfghjqr
aquáticas,66949,0.99,0.1126,0,bcdfghj
aquático,164022,1,0.9934,0.0111,abcdfghijklmoqrst
aquáticos,146456,0.99,0.1863,0,bcdfghj
aquém,166663,1,0.998,0.0041,abcdfghijkmoqst
aquífero,32240,1,0.9997,0.0087,acdfghijklmoqrs
ar,9582500,1,1,0.3523,abcdghijklmopqrst
ara,103207,1,0.9999,0.3111,abcdfghijklmoqst
aracati,65783,1,0.002,0.016,acdfghijklmoqs
arado,36027,1,0.2922,0,abcdfghijklmopqrst
aragão,251039,1,0.5732,0.3082,abcdfghijklmqr
aramado,25090,1,0.0011,0.006,acdfhjkmoqt
aramaico,40667,1,0.0212,0.004,abcdfghijkmoqrs
arame,185536,1,0.4268,0.0034,abcdfghijklmnopqrst
arames,44522,0.9999,0.1863,0,bcdfghijk
aranha,289769,1,0.8137,0,abcdfghijklmoqrs
aranhas,131874,1,0.1863,0.0064,bcdfghijpr
arantes,138207,0.0911,0.0066,0.4257,acfj
arara,125916,1,0.998,0.0094,abcdfghijklmopqrs
araras,51106,1,0.7078,0,bcdfghijlm
araruna,31812,1,0.002,0.4784,cdfghijklmoqs
araucária,120179,1,0.9788,0.0331,abcdfghijklmoqrs
arauto,25477,1,0.1126,0,abcdfghijklmoqrst
arautos,71335,0.99,0.1126,0.0101,bcdfhij
arbitrado,24846,1,0.002,0,bcdfhijmqt
arbitragem,357520,1,0.1863,0.0021,abcdghijklmnoqrst
arbitragens,31881,0.9089,0.0066,0,bcdhij
arbitral,52587,1,0.0037,0,acdfghijklmoqst
arbitramento,26166,1,0.0119,0,acdhjklmoqt
arbitrar,20021,1,0.1126,0,abcdfghijklmoqrst
arbitrariamente,38172,1,0.1863,0,abcdhijlmqrs
arbitrarias,43303,0.9089,0.8874,0,bcdhij
arbitrariedade,41994,1,0.0376,0,abcdghijklmnoqst
arbitrariedades,25261,0.9089,0.0119,0,bcdhij
arbitrária,87019,0.999,0.9342,0,bcdhijqr
arbitrário,55103,1,0.9934,0,abcdghijklmnoqrst
arborizada,42277,0.99,0.0376,0,bcdhijr
arborizadas,22521,0.9089,0.0066,0,bcdhij
arborizado,36411,1,0.0376,0,abcdhijklmoqrt
arborização,42132,1,0.0212,0,acdghijklmopqrst
arbusto,67207,1,0.2922,0.0046,abcdfghijklmoqrs
arbustos,94972,0.9999,0.4268,0,bcdfghijq
arbítrio,293563,1,0.9989,0.0035,abcdfghijklmoqrst
arca,406653,1,1,0.056,abcdfghijklmnoqrst
arcabouço,59320,1,0.1126,0,abcdfhijklmoqst
arcada,36493,1,0.0658,0,abcdfghijklmnoqrs
arcadas,30309,0.999,0.1126,0.0046,bcdfhijq
arcaica,44405,0.9999,0.1126,0.0046,bcdfhijqr
arcaicas,20449,0.99,0.0658,0,bcdfhij
arcaico,58479,1,0.5732,0.0045,abcdfghijklmoqrst
arcando,20301,0.99,0.0212,0.0041,bcdfhij
arcanjo,228316,1,0.1126,0.1594,abcdfghijklmoqrs
arcano,25224,1,0.0658,0,acdfghijklmoqrst
arcanos,35220,0.5,0.0212,0.0116,cdfhj
arcar,176006,1,0.4268,0,abcdfghijklmoqrst
arcebispo,146445,1,0.0376,0,abcdfghijklmnoqrs
arco,1175139,1,0.9994,0.3211,abcdfghijklmopqrst
arcos,184189,0.9999,0.2922,0.0035,bcdfghijk
arcádia,21172,1,0.0376,0.0071,acdfhjmoqrs
arde,102570,0.99,0.2922,0.0021,bcdfhij
ardem,21353,0.99,0.0658,0,bcdfhij
ardendo,55288,0.99,0.0658,0.0045,bcdfhij
ardente,216724,1,0.1863,0.0049,abcdfghijklmnoqrst
ardentemente,41055,0.9999,0.0658,0,acjlmqrst
ardentes,47356,0.999,0.1126,0,bcdfghij
arder,91352,1,0.1126,0,abcdfghijklmoqrst
ardia,32463,0.99,0.0658,0.004,bcdfhij
ardor,112408,1,0.4268,0,abcdfghijklmoqrst
arduamente,53285,1,0.1126,0,abcdghijklmqrs
ardência,40690,1,0.8874,0,abcdfghijklmoqrst
ardósia,34266,1,0.8874,0.0057,abcdfghijklmnoqrst
are,399620,1,0.9342,0.0041,abcdfghijklmoqrs
areal,41165,1,0.1863,0,abcdfghijklmnoqrst
areia,1370887,1,0.4268,0.004,abcdfghijklmnopqrst
areias,156144,1,0.1126,0,abcdfghijs
arejada,43835,0.5,0.0376,0.0081,cdfhj
arejado,108684,1,0.1126,0.005,bcdfhijkmnopqrt
arejados,28113,0.5,0.0037,0,cdfhj
arena,1156102,1,0.9997,0.2627,abcdfghijklmoqrst
arenas,64511,0.99,0.0376,0,bcdfhij
arenito,23586,1,0.0376,0.0044,abcdfghijklmoqrs
arenoso,27897,1,0.1863,0.0043,abcdfghijklmnoqrst
ares,365842,1,1,0.3572,abcdfghijknqrs
aresta,26978,1,0.2922,0,abcdfhijklmnoqrst
arestas,80700,0.99,0.4268,0.0042,bcdfhij
argamassa,97958,1,0.7078,0,abcdfhijklmoqrs
argamassas,23008,0.9089,0.0119,0,bcdhij
arganil,26535,0.999,0.0003,0.0071,cdfghijk
argel,47197,1,0.2922,0.0952,abcdfghijklmoqrs
argentinas,38039,0.99,0.0658,0,bcdghij
argentino,520151,1,0.2922,0,abcdfghijklmnoqrst
argentinos,205736,0.99,0.1126,0,bcdghij
argila,200478,1,0.4268,0,abcdfhijklmnopqrst
argilas,23771,0.99,0.0658,0.0045,bcdfhij
arginina,21610,1,0.0037,0,acdfhjmoqr
argola,50582,1,0.0658,0,abcdfhijklmnoqst
argolas,91102,1,0.2922,0.0075,bcdfhijqrs
argos,26371,1,0.5732,0.0882,abcdfhijlmoqrs
arguido,80294,1,0.9881,0.0109,abcdfhijmoqrst
arguidos,52916,0.01,0.0006,0,cfj
arguição,36300,1,0.5732,0,abcdfghijklmoqrst
argumenta,229181,0.99,0.8137,0.0029,bcdfhij
argumentam,77006,0.9089,0.0376,0,bcdhij
argumentando,72750,0.9089,0.0658,0,bcdhij
argumentar,176241,1,0.1863,0,abcdghijklmnoqrst
argumentativa,30253,0.0911,0.0376,0,cdhj
argumentativo,31038,1,0.0376,0,acdghijklmoqs
argumentação,287310,1,0.4268,0,abcdghijklmnoqrst
argumentações,36727,0.5,0.0376,0,bcdhj
argumento,1074081,1,0.4268,0.002,abcdfghijklmnoqrst
argumentos,1032956,0.999,0.4268,0,bcdghijk
argumentou,147833,0.9089,0.1126,0,bcdhij
aria,68435,1,0.9994,0.0056,abcdfghijklmoqrst
ariadne,32932,1,0.1863,0.3365,abcdfghijklmqrs
ariana,33083,0.999,0.1126,0,bcdfhijq
ariano,23423,1,0.1126,0,abcdfghijklmoqrs
arianos,31912,0.99,0.0658,0.0049,bcdfhij
aridez,29092,1,0.0658,0,abcdfghijklmnoqrst
arinos,26502,1,0.1126,0.4996,acdfghijklmq
aristocracia,78621,1,0.4268,0,abcdghijklmoqrst
aristocrata,28191,1,0.4268,0.004,abcdghijklmoqrst
aristocratas,23396,0.9089,0.0376,0,bcdhij
aristocrática,25104,0.5,0.0658,0,bcdhj
aristotélica,25092,0.5,0.1863,0,bcdhj
aritmética,92986,1,0.8137,0.0039,bcdhijklmoqrs
arma,1687897,1,0.9997,0.0154,abcdfghijklmnoqrst
armada,289653,1,0.4268,0,bcdfghijklmnoqrs
armadas,572979,1,0.1863,0.416,bcdfghijmp
armadilha,281076,1,0.9934,0.0055,abcdfghijklmnoqrst
armadilhas,205580,0.9089,0.1126,0,bcdhij
armado,374008,1,0.5732,0,abcdfghijklmoqrst
armador,92108,1,0.1863,0.005,abcdfghijklmoqrs
armadores,28809,0.999,0.0658,0,bcdfghij
armados,350133,0.999,0.2922,0.0029,bcdfghij
armadura,235978,1,0.5732,0,abcdfghijklmoqrst
armaduras,85506,0.99,0.1126,0,bcdfhij
armamento,119476,1,0.2922,0,abcdfghijklmoqrst
armamentos,66669,0.9089,0.1126,0,bcdhij
armando,461706,1,0.0658,0.5133,abcdfhijlmoqs
armar,121968,1,0.2922,0,abcdfghijklmoqrst
armas,2043950,1,0.4268,0.002,bcdfhijmpqst
armazena,134019,0.999,0.9963,0.0028,bcdfhijm
armazenada,107814,0.99,0.0658,0,bcdhijp
armazenadas,123220,0.9089,0.0658,0.0043,bcdhij
armazenado,146045,1,0.1863,0,bcdhijklmoqt
armazenados,228069,0.9089,0.1126,0.0033,bcdhij
armazenagem,256553,1,0.1863,0.0107,abcdghijklmoqrst
armazenam,39266,0.99,0.0658,0,bcdfhij
armazenamento,995514,1,0.4268,0,abcdhijkmoqrst
armazenando,24228,0.9089,0.0376,0.0047,bcdhij
armazenar,352399,1,0.2922,0,abcdfghijklmnoqrst
armazém,393648,1,0.9963,0.0718,abcdfghijklmnoqrst
armazéns,102881,0.99,0.1126,0,bcdfghj
armação,426268,1,0.4268,0.307,abcdfghijklmnoqrst
armações,54524,0.9089,0.1863,0,bcdfhj
armistício,20878,1,0.9963,0.0022,abcdghijklmoqrst
armou,52558,0.99,0.0658,0,bcdfhij
armário,899663,1,0.9934,0.0932,abcdfghijklmoqrs
armários,532177,0.99,0.1863,0.0026,bcdfhjp
armênio,59924,1,0.9997,0.0083,abcdfghijklmnoqrs
aro,222440,1,0.5732,0.006,abcdfghijklmoqrst
aroeira,45553,1,0.0212,0.0074,abcdfghijklmoqrs
aroma,478059,1,0.9963,0.0093,abcdfhijklmnoqrst
aromas,205374,0.99,0.1863,0,bcdfhij
aromaterapia,26730,1,0.0212,0,cdghijkmoqrs
aromatizado,23033,1,0.1126,0.0043,bcdhijkmoqt
aromática,33745,0.9999,0.1863,0,bcdfghjqr
aromáticas,72370,0.99,0.1126,0,bcdghjm
aromático,48184,1,0.8874,0.0045,abcdfghijklmoqrst
aromáticos,34209,0.9089,0.2922,0,bcdghj
aros,42481,0.999,0.0658,0.004,bcdfhijq
arqueiro,72018,1,0.1863,0,abcdfghijklmoqrs
arqueiros,29425,0.99,0.0212,0,bcdfhij
arqueologia,205452,1,0.1863,0.0449,abcdghijkmoqrs
arqueológica,42826,0.5,0.1126,0,bcdhj
arqueológicas,54354,0.5,0.1126,0,bcdhj
arqueológico,85604,1,0.8874,0,abcdhijklmoqrs
arqueológicos,93115,0.5,0.0658,0,bcdhj
arqueólogo,54692,1,0.9342,0.0084,abcdghijklmnoqrs
arqueólogos,81512,0.9089,0.0658,0.0116,bcdhjm
arqui,34645,1,0.0376,0,acdfghijkm
arquibancada,118616,1,0.1863,0,abcdghijklmoqrs
arquibancadas,123231,0.99,0.0212,0,bcdhijm
arquidiocese,34743,1,0.1126,0.004,acdhjklmoqrst
arquipélago,216121,1,0.8874,0.0189,abcdghijklmoqrs
arquitecto,101016,0.999,0.0066,0,cdhjlqrs
arquitectura,231592,0.9089,0.0066,0,dhlqrs
arquitectónica,20841,0.01,0.0037,0,lqs
arquitectónico,27742,0.5,0.0011,0,dhlqs
arquiteta,156500,0.999,0.8137,0.0038,bcdfhijq
arquiteto,448456,1,0.2922,0.002,abcdfghijkmoqrs
arquitetos,245657,0.99,0.1126,0,bcdhijm
arquitetura,2219572,1,0.1863,0.3327,abcdghijkmnoqrst
arquiteturas,51534,0.9089,0.0212,0,bcdhij
arquitetônica,69510,1,0.9881,0.0039,bcdhijmoqst
arquitetônicas,52302,0.5,0.0658,0,bcdhj
arquitetônico,153725,1,0.9788,0.0037,abcdhijkmoqrs
arquitetônicos,61047,0.5,0.0212,0,bcdhj
arquiva,50139,0.99,0.8137,0.0043,bcdfhij
arquivada,114302,0.99,0.0376,0,bcdfhij
arquivadas,27249,0.9089,0.0376,0,bcdhij
arquivado,169200,0.99,0.0658,0,bcdfhij
arquivados,54380,0.9089,0.0658,0,bcdhij
arquivamento,139554,1,0.1126,0,abcdhijkmoqst
arquivar,57024,1,0.2922,0,abcdfghijklmoqrst
arquivo,5088059,1,0.5732,0.3336,abcdfghijklmoqrst
arquivos,3270210,1,0.4268,0.002,bcdfghijkqr
arquétipo,65659,1,0.9788,0.0042,abcdfghijklmoqrst
arquétipos,45727,0.5,0.0376,0,bcdhj
arraia,89249,1,0.9881,0.0152,abcdfghijklmoqrs
arraiais,22478,0.9999,0.0376,0,bcdfghijk
arraial,292044,1,0.5732,0.209,abcdfhijklmoqrst
arraias,25522,0.999,0.0658,0.0053,bcdfghij
arraigada,20348,1,0.0658,0,bcdfhijlmoqs
arraigado,20934,1,0.1863,0,abcdfhijklmoqt
arranca,200293,1,0.998,0.0068,bcdfghijlmopqst
arrancada,100818,1,0.4268,0,bcdfhijklmnoqrst
arrancadas,46360,0.9089,0.2922,0,bcdhij
arrancado,65828,1,0.2922,0,abcdfhijlmnoqst
arrancados,34121,0.9089,0.2922,0,bcdhij
arrancam,28972,0.99,0.0658,0,bcdfhij
arrancando,69185,0.9089,0.4268,0,bcdhij
arrancar,308409,1,0.4268,0,abcdfghijklmoqrst
arrancaram,25959,0.9089,0.1863,0,bcdhij
arranco,22169,1,0.1863,0.0084,abcdfhijklmoqrst
arrancou,134919,0.99,0.0212,0,bcdfhij
arranha,115563,1,0.9881,0.0049,bcdfghijlmqs
arranhar,37160,1,0.1126,0,abcdfghijklmoqrst
arranhão,32469,1,0.1863,0,abcdfhijklmnoqrst
arranhões,71206,0.9089,0.0658,0,bcdfhj
arranja,87273,0.999,0.8874,0.0046,bcdfghij
arranjado,46935,1,0.1126,0,bcdfghijkmnoqrst
arranjador,41145,1,0.0119,0,acdhjmoqrt
arranjados,20134,0.9089,0.0658,0,bcdhij
arranjam,22663,0.99,0.0212,0,bcdfhij
arranjar,399650,1,0.2922,0,abcdfghijklmnoqrst
arranje,31875,0.99,0.0066,0.0051,bcdfhij
arranjei,36427,0.99,0.0119,0,bcdfhij
arranjo,402177,1,0.4268,0.0105,abcdfghijklmnoqrst
arranjos,384842,0.99,0.4268,0,cdfhjqt
arranjou,64128,0.99,0.0376,0,bcdfhij
arranque,178640,1,0.1863,0,abcdfhijklmoqrst
arrasa,125737,1,0.8137,0,bcdfhijlmqs
arrasada,57217,0.5,0.1126,0,cdfhj
arrasado,38186,1,0.1863,0,abcdfhijkmoqt
arrasador,23808,1,0.0119,0,acdfhjklmoqst
arrasam,23300,0.99,0.0119,0.0041,bcdfhij
arrasando,73177,0.99,0.0066,0,bcdfhij
arrasar,172575,1,0.2922,0.0042,abcdfhijklmoqrst
arrasaram,26271,0.99,0.0119,0,bcdfhij
arrase,23097,0.99,0.0037,0,bcdfhij
arraso,68793,0.999,0.002,0,bcdfhijm
arrasou,185112,0.99,0.1126,0.0108,bcdfhij
arrasta,184428,1,0.9994,0.0047,bcdfghijlmoqst
arrastada,51513,0.99,0.1863,0,bcdfhij
arrastado,88415,1,0.5732,0,abcdfhijkmoqst
arrastados,33834,0.9089,0.0376,0,bcdhij
arrastam,54064,0.999,0.1126,0,bcdfhijp
arrastando,135533,0.9089,0.1863,0,bcdhij
arrastar,192273,1,0.2922,0,abcdfghijklmnoqrst
arrastava,27403,0.99,0.0376,0,bcdfhij
arraste,189583,1,0.1126,0.04,bcdfhijloq
arrasto,56442,1,0.2922,0.0047,abcdfhijklmoqrs
arrastou,62110,0.99,0.0376,0,bcdfhij
arrastão,64785,1,0.0658,0,bcdfhijklmnoqrs
array,83825,0.0911,0.0119,0,dhqr
arrebata,27213,0.999,0.8137,0.0022,bcdfghij
arrebatado,32976,1,0.0376,0,abcdhijklmnoqst
arrebatador,33777,1,0.0376,0,abcdhijklmnoqst
arrebatadora,31081,0.9089,0.0119,0,bcdhij
arrebatados,21050,0.9089,0.002,0,bcdhij
arrebatamento,73858,1,0.1126,0,abcdhijklmnoqrst
arrebatar,29823,1,0.1126,0,abcdfhijklmoqrst
arrebatou,24111,0.99,0.0212,0,bcdfhij
arrebenta,47937,0.999,0.9624,0.0024,bcdfghij
arrebentando,26865,0.9089,0.0119,0,bcdhij
arrebentar,55173,1,0.1863,0,abcdhijklmnoqrst
arrebentou,30289,0.9089,0.0376,0,bcdhij
arrecada,60900,1,0.8137,0.0021,bcdfhijlmnoqs
arrecadado,101584,1,0.1126,0,bcdhijkmnoqs
arrecadados,85127,0.9089,0.0376,0,bcdhij
arrecadando,27166,0.9089,0.0376,0,bcdhij
arrecadar,179097,1,0.2922,0,abcdfhijklmoqrst
arrecadação,520079,1,0.2922,0,acdghijklmnoqrst
arrecadou,87587,0.99,0.0212,0,bcdfhij
arredondada,51832,0.999,0.1126,0.0042,bcdghijp
arredondadas,57050,0.99,0.1863,0,bcdghij
arredondado,64030,1,0.4268,0.0042,bcdhijklmnoqrt
arredondados,44257,0.9089,0.0658,0,bcdhij
arredores,579071,1,0.4268,0,abcdfhijkmnqrst
arrefecer,107794,1,0.1126,0,abcdfhijklmoqrst
arrefecimento,73091,1,0.2922,0,abcdhijklmoqrst
arregalados,34464,0.9089,0.0037,0,bcdhij
arreganha,20212,0.99,0.0037,0.0021,bcdfhij
arreganhada,20934,0.99,0.0006,0,chjlmqs
arregaçar,30229,1,0.0658,0,abcdfghijklmoqst
